number,value,params_dropout_rate,params_lr,params_hid_dim
0,0.0,0.2,0.0005,1024
1,0.0,0.5,0.0001,1024
2,0.003925896014789542,0.2,0.001,1024
3,0.019073634774403513,0.2,0.005,512
4,0.022990443465477083,0.5,0.005,1024
5,0.0,0.4,0.001,512
6,0.0,0.4,0.0001,1024
7,0.006188644580567906,0.2,0.005,512
8,0.022500913691081342,0.1,0.005,512
9,0.0020215041975053722,0.1,0.0001,2048
10,0.0,0.5,5e-05,2048
11,0.012806843313667311,0.1,0.005,512
12,0.027218308981574638,0.30000000000000004,0.005,1024
13,0.008339152497832574,0.4,0.005,1024
14,0.0,0.30000000000000004,5e-05,1024
15,0.0,0.30000000000000004,0.0005,1024
16,0.0,0.5,0.005,1024
17,0.0,0.4,0.005,2048
18,0.0,0.30000000000000004,0.005,1024
19,0.0,0.5,0.0005,1024
20,0.0035795111306605805,0.4,0.001,2048
21,0.016892942046078965,0.1,0.005,512
22,0.009297102131929297,0.30000000000000004,0.005,512
23,0.01494988272056307,0.2,0.005,512
24,0.047571062006664465,0.1,0.005,1024
25,0.0,0.30000000000000004,5e-05,1024
26,0.0,0.4,0.005,1024
27,0.01846525996409933,0.2,0.005,1024
28,0.019798181040171465,0.5,0.005,1024
29,0.0,0.2,0.0005,1024
30,0.0,0.1,5e-05,1024
31,0.017434557310750942,0.1,0.005,512
32,0.05684527998877011,0.1,0.005,1024
33,0.00042750887959666135,0.1,0.0001,1024
34,0.0026185993292460077,0.2,0.001,1024
35,0.0,0.1,0.005,1024
36,0.048581517757174515,0.2,0.005,1024
37,0.005867396283808872,0.2,0.005,1024
38,0.0004274977588758292,0.2,0.001,1024
39,0.00034199740912066017,0.2,0.0001,1024
40,0.016458199439249636,0.1,0.005,2048
41,0.04385965220163071,0.1,0.005,1024
42,0.08484096784710048,0.1,0.005,1024
43,0.059993343035733525,0.1,0.005,1024
44,0.01032978473922316,0.1,0.005,1024
45,0.011738291541445926,0.1,0.005,1024
46,0.0005409223345986008,0.1,0.0005,1024
47,0.08142315328119631,0.1,0.005,1024
48,0.00022811130920776654,0.1,0.0001,2048
49,0.0476573345934721,0.1,0.005,1024
50,0.0,0.2,0.005,1024
51,0.05342453321711666,0.1,0.005,1024
52,0.06716379578517596,0.1,0.005,1024
53,0.0,0.1,0.005,1024
54,0.0,0.1,0.005,1024
55,0.00022786340990549585,0.1,5e-05,1024
56,0.009523475481602917,0.1,0.005,1024
57,0.01963049883390339,0.1,0.001,2048
58,0.07135140763193917,0.1,0.005,1024
59,0.02893812671058836,0.1,0.005,1024
60,0.0,0.1,0.0005,1024
61,0.07876941677802148,0.1,0.005,1024
62,0.049825066902300756,0.1,0.005,1024
63,0.05822855947216741,0.1,0.005,1024
64,0.07965987977749356,0.1,0.005,1024
65,0.009773745128367076,0.2,0.005,512
66,0.0614242550577792,0.1,0.005,1024
67,0.03726195851003881,0.1,0.005,1024
68,0.00034202172562269086,0.1,5e-05,1024
69,0.003868968891561093,0.1,0.0001,2048
70,0.06301088448068078,0.2,0.005,1024
71,0.026778974370100513,0.2,0.005,1024
72,0.0615521638504384,0.1,0.005,1024
73,0.11187352763859833,0.1,0.005,1024
74,0.0,0.1,0.005,1024
75,0.03027187820760094,0.2,0.005,512
76,0.11334828542130458,0.1,0.005,1024
77,0.00542897311527088,0.1,0.001,1024
78,0.0,0.1,0.005,1024
79,0.0,0.1,0.0005,1024
80,0.0,0.1,0.005,1024
81,0.06297120354064785,0.1,0.005,1024
82,0.052311020704111914,0.1,0.005,1024
83,0.051692503528651144,0.2,0.005,1024
84,0.06134656245506399,0.30000000000000004,0.005,1024
85,0.023683101356957694,0.1,0.005,1024
86,0.014056353905993323,0.1,0.005,1024
87,0.017880398480140444,0.1,0.005,512
88,0.0014238208132820046,0.2,5e-05,1024
89,0.0006556961988536323,0.1,0.0001,1024
90,0.0,0.1,0.005,2048
91,0.13321783186629302,0.1,0.005,1024
92,0.03260856341952855,0.1,0.005,1024
93,0.10382444820863544,0.1,0.005,1024
94,0.03852056802620001,0.1,0.005,1024
95,0.006030600811525671,0.1,0.005,1024
96,0.0032882911562660704,0.1,0.005,1024
97,0.010846429062029506,0.1,0.001,1024
98,0.06568231326931474,0.1,0.005,1024
99,0.22496750083591754,0.1,0.005,1024
100,0.0,0.1,0.005,1024
101,0.0053558981701943955,0.1,0.005,1024
102,0.0,0.1,0.005,1024
103,0.06049170035479607,0.1,0.005,1024
104,0.0,0.1,0.005,1024
105,5.707984170135798e-05,0.1,0.0005,1024
106,0.06145983955952449,0.1,0.005,1024
107,0.0,0.1,0.005,1024
108,0.0009109909586770879,0.4,0.005,2048
109,0.0007407450729677191,0.1,5e-05,512
110,0.036539375706190376,0.1,0.005,1024
111,0.09643425627435424,0.1,0.005,1024
112,0.014510733956760597,0.1,0.005,1024
113,0.0807196812153248,0.1,0.005,1024
114,0.03282949654390199,0.1,0.005,1024
115,0.0,0.1,0.0001,1024
116,0.031648214795587604,0.1,0.005,1024
117,0.058399013695207336,0.1,0.005,1024
118,0.0,0.1,0.005,1024
119,0.038964012306555766,0.1,0.005,1024
120,0.0,0.5,0.005,1024
121,0.034182178809070506,0.1,0.005,1024
122,0.02264374713544005,0.1,0.005,1024
123,0.03295062592536199,0.1,0.005,1024
124,0.007974334641209063,0.1,0.001,1024
125,0.0034578797049604672,0.1,0.005,1024
126,0.05663442717586481,0.1,0.005,1024
127,0.0031854085102637126,0.1,0.0005,1024
128,0.05708568761799768,0.1,0.005,1024
129,0.0,0.1,0.005,512
130,0.11014797139272774,0.1,0.005,2048
131,0.004879347011951824,0.1,0.005,2048
132,0.02551881650664632,0.1,0.005,2048
133,0.028977986468055356,0.1,0.005,2048
134,0.007895230336273845,0.1,0.005,2048
135,0.009936906477071654,0.1,0.005,2048
136,0.017533806665430304,0.1,0.005,1024
137,0.012661247497733489,0.1,0.005,1024
138,0.0,0.1,5e-05,1024
139,0.02213965222214752,0.1,0.005,1024
140,0.0,0.1,0.0001,1024
141,0.006733085238279423,0.1,0.005,1024
142,0.06938863800286167,0.1,0.005,1024
143,0.005867396283808872,0.1,0.005,1024
144,0.07340527608107468,0.1,0.005,1024
145,0.06424496078331406,0.1,0.005,1024
146,0.06716894026321991,0.1,0.005,1024
147,0.00932269633486343,0.1,0.005,1024
148,0.012108474246171043,0.1,0.005,1024
149,0.019825462892080193,0.1,0.005,2048
